iteration,avg_score,selected_links
0,-116.8248555228438,"[44346 33151 12568 21657 21527  4879 19040 41359 22898  9359 17594 41177
 35437  4638 36296 10971 38044 18541 27823  9585 26428 17564 18749 33120
 36264 41304 28655  1029 20982 30211 17643 43895 27989 21286 11371 13640
  1917  1055 43849 12564 21312  4835 15507 13362 30966 15491 14562 36688
 34795 42305 21185 17352 38344 33260 11799 10318 34796 14794 24544 11439
  3564  1001 38684 38193 41574 18307 37963 19013  8105 12970  7192  4019
 40793 11448 15831 21154  3502 13175 20781 17251 19000 35380 26982 14746
  4143 28163 14260  8970 35107 41671  1608 34094 27786  4372 10857 27174
 39269 42689 35684 34344]"
1,-114.33521426234876,"[18722  7373  1821 36556 17392  3897 21534 34956 28243 21187 31494 14200
 44391  3079 12360   268 33040 28201 29110  4847  6762  7345 28776 34887
 40615 31428 30391 42358   240  6925  8706 39339 43256 18696 38816 42803
 37424 11136  6983 35846 36860  9060 11946 20367  9336 22825 29608 25032
 32664 20101 20277 35453  9670 44523 19872  4854 41893  8825 33408 33429
 36045  8517 37816 10218 37213 22116 13570  2299 40019 26210 38502 35267
 31150 23366 39342  7415 24168 24850  2445 39205  8922  9838   760 29554
 38187 27218 34155  8624 29900  2668  4889 15978 36408  6130  3400 43642
 13762  2419   374 10121]"
2,-114.47887362337808,"[ 3999 30837 32902  8015 10691 34148  1216 23394 31410  4772 42391 40782
  9485 24360 44037 44186 42017 12825   920 13116 19367 10428 28719 20006
  1304 27636  3982 40192 31701 17174  7180   667 10298  5223 30281 21616
 31401 34610 27614   571 15176 36767  1895 22833 33448  3181  6016 28027
 27086 38947  1908 30959 11385 32885  9606  8559 42218 36784 40800 43585
 26792 29442 34054 35821 15365 41109 21504 39585  3801 20949 21421 22667
 42364 26356 24118 17926 17293  3120 30674 40111  4657 18864 43127 22186
 10370 24830 10837 30189  6486 12548  1329 41509 11443 17659 34255 38184
 18967  4366 38012 19625]"
3,-113.892051030422,"[40713 11098  8111  4101 41104 36268 33681 28412 11965  7417 30730  1763
 33092 12483 11377  5719  8087 43916 37225  9888  3975 25679   782 41003
  1317 34405 36715 41627 21251   583 12980 26916  7913 11468 25738  7674
 11331 26897 41763 22385  4609 34736  7254 15571 12785  7866  4208 16805
 43039  4011 33763 10518 37310  9762 19100 26806  4789 15241  6363 43856
 33556  5904 11220 32676 43227  3053 33726 20735 15286 45085 30364 21242
  3117 18025  9532 13577 19018 26183 14176 43598 22737 22213   394 14610
 41890 43373 17247  9699  8308 28686 38441 36352 22371  4845 43545 20158
 14005 11183 21623 33641]"
4,-114.07755424708328,"[18684 11740 39988 37082  7887 27167 25511 13862  4610  6884 36942  4234
 36901 12232 11224 12793 14863 34106 40538 31000 29144  1644 15407 14793
 14353 23959 19123 38564 21049 22480 25885 14136  7005 14705 30046 25568
  3160 44174 22026 27932 27371 14909 19615  8943 17148 15275  4617  6116
 33409 39607 22535  2521 33213 39864 13746  2275 43241  5218 35348 10620
 37550 40662 10744 27030  9758 29579  3340 13163 27388 42796  4073 12214
 18913 28437 40384 28263 11594  5001 23287  6205 13930  1806  6892 39048
 24268 30734 12233 23555 39582 26299 20212  5715  8789 33534 18569 13707
  5555  2680 36356 40557]"
5,-114.32610947552072,"[35378 31976 28949 27307 27672  3767 15458 10859  4026 40014 44421 24285
  8227  8399  4696 11233  3200 19370 30714 38670 18530 20996  6845  9885
  6128  1754 23943 13496 29503  6846  5567  3926 42554 20232 13711 16788
 41695  3354  2679  5204 41752 38698 11926 36777 33474  7572  8524  6523
 15428 20157  2407 24993 23629 10585 15772 35969  7546 45150  1898 10683
 29732  1606 31266 40018 19513 39063  5808 35342 38282  3546 13197 25270
  5903 37605  8949  2305 34152 20860 41982  4301 17492 11083 33622 17963
 44769   714 29196 40403 35099  2862 17477 24380 42850  4579  1142 15663
  1842 24779  1085  7332]"
6,-113.80209355577372,"[  167 13329  4583 27083 18514 25410 11746  7009 24258 27266 42772 19140
  6432  8465  2823 38208 11734  7441 34403 13425 40012  4945 21253 10239
  6500   237 41015  2916 37556  1888 35243 37281 26050 33559 27035 17071
 39151 14229 19617 18609  9040  1453 21405 20297 14412 42725 15731 27321
  5991 41043 13995  2601 36434 33377 34618 12644   522 27359  8950 37937
 36252 10287 26018 40840 23240  8621 11935 30975  6993  7149 20802 38922
  2895 44576 38884 26514 35366 40249  2849 19260 30039  4840 11395  8393
 15918 35176 13843  2562 23369 40454 13633  7714 10183   284 19289  3947
 15708 23423 12363 38971]"
7,-113.8402028132156,"[37210 15114  2554 28298 32917 33365 29112 28411  1384  6379  1151   518
 23209 22503 36426 20205 31475 33525  4061 31711  7816  4838  3694  9449
 29061  2887  2664 42756  2746  7918 33644 34821 32845  7955 12235 23647
 13423 39137 17411 38380  8270 14149 24320 12135 27280 24669 43505  6558
  8265 33477 43829 35145 32892 25733 36690 20069 27777  5885 15394 18174
 31627 23019 40482 19242 34712 23340 22418 10656 36393 17613 28409 23971
 35240 27314  6150 27047 16164 34038 23320 15742 43692 30775 36413 15773
 33594  1651 28584 25784 40893 27888 15168 22391 17213  4289 21728  7477
 29508 14012 41599 20034]"
8,-114.40257332897184,"[37196  5866 38237 43665  5295  9333 26211 10711  1356 11209 32964 29189
  9456 24246 32685 16188 26488  8006 37742 13182  4974 10017 13749 34700
 32900  7268 23396 34162 14614 34984 10021 18489 21656 40672 13966  4820
 41681 22569 39912 43444  1110  4020  3726 38795  7788 18817 23096 36110
 11679 36697  9768 30400 36762 28040  9023 10737  3725  2837 28738  9463
 17242 41423 42308 25974 21797 42540  3147 13607 17513  3093 27206 15988
 13299 12094 33580 39202  8744 11254 23305 25099 44649  4986 39952 40909
  8543 25802 13416 19198 36783 42476 21867 39068 42146 25653 23960 20023
  6481 45017 12225 12602]"
9,-116.05015810707673,"[ 6483 22309 29201  6719 33519    57 19506 11597 19712 20380 39949 26238
 20888 10053 12051 42181 15924 45019  5168 40511 22369  4140 19647 15617
  6586 42466  1877 12515 12787  3619  7654  1557 24862 28807 22483 12535
 10303 19003 31713 41167  3854 23273  7160 10522 12006  4210 26716   291
 26524 33023 26722  3642 42110 13857 25737  7318 11673  5200  1752 37101
 43619 33388  1944 22543 44547 22010 44573 24841 40394  8787 39239 13326
 20241  1943 11043 11984  5467  1513 13949 15858  9792 10273 28354 18693
 44350  1949 25538 18727  4078 23375  5159 42024 41934 20068  3203 27227
  2816 29018 30320 22500]"
