iteration,avg_score,selected_links
1,-51.496055188316326,"[12960, 9989, 9982, 25294, 9980, 9975, 40098, 9965, 34613, 9964, 9954, 9934, 9926, 9922, 991, 40758, 990, 9889, 9885, 9881, 9870, 9857, 9855, 27912, 9838, 9829, 9812, 9811, 9808, 9804, 9800, 9785, 9780, 9772, 9766, 9760, 9759, 9756, 9733, 9727, 9715, 9712, 9701, 9691, 18485, 9685, 9682, 9680, 9666, 22635, 9656, 9653, 9615, 38025, 9614, 9612, 9610, 9602, 9594, 9587, 9564, 9557, 9552, 9550, 9546, 9534, 9522, 9513, 9510, 9506, 9499, 9492, 9487, 9447, 9422, 9403, 9385, 9383, 9379, 9369, 9364, 9359, 9358, 9355, 9352, 9350, 9335, 9334, 9301, 9298, 9284, 9283, 9262, 9257, 43363, 9256, 9219, 9204, 9200, 9198]"
2,-54.0224936582888,"[9195, 9178, 9174, 13919, 9157, 19767, 9152, 9150, 9149, 9147, 9137, 9129, 9113, 9112, 9105, 9096, 9095, 9090, 9087, 9083, 9067, 9060, 9054, 9053, 9051, 9033, 9030, 9017, 9014, 9013, 8981, 8959, 8949, 8932, 892, 8914, 8905, 17535, 40122, 8900, 8899, 8896, 8884, 8874, 8870, 8859, 8849, 8846, 8838, 883, 8825, 8820, 8816, 8804, 8791, 8786, 44430, 8784, 8780, 8752, 8747, 8742, 8739, 8731, 8727, 8725, 871, 8704, 8700, 8681, 8666, 866, 8654, 8645, 8643, 8638, 8614, 8603, 860, 8598, 8594, 8588, 8587, 8583, 3215, 858, 8575, 8565, 8560, 8557, 8551, 8545, 8541, 8532, 8531, 8529, 8528, 8519, 8514, 8485]"
3,-60.72851900829766,"[8482, 8466, 8463, 8454, 8449, 8428, 8418, 8415, 8407, 84, 8399, 8383, 8354, 8348, 8337, 8333, 8332, 8307, 8301, 8268, 8267, 8265, 826, 8245, 8243, 8242, 8233, 823, 8228, 8214, 8210, 820, 819, 8189, 8187, 8186, 8175, 8171, 8162, 8154, 8148, 8127, 8113, 8110, 8090, 8087, 8083, 8080, 8079, 8076, 8072, 8062, 8054, 8047, 8041, 8039, 8018, 8012, 8010, 800, 7986, 7983, 28513, 7963, 7944, 7931, 7917, 7913, 7912, 7902, 790, 7893, 7884, 7881, 7863, 785, 7849, 7824, 7819, 7815, 7803, 78, 7798, 7795, 7786, 7784, 7780, 778, 7764, 7761, 7760, 7756, 7740, 7737, 7734, 7732, 773, 7724, 7719, 7708]"
4,-54.37198612417258,"[7702, 7699, 7697, 7679, 7667, 7658, 7652, 765, 7646, 764, 44657, 7626, 7619, 7606, 7604, 7590, 7586, 7584, 7569, 7566, 756, 753, 7520, 7519, 7515, 7513, 7503, 7495, 7493, 7486, 747, 7454, 7449, 7441, 7431, 7425, 7389, 7384, 7378, 7358, 7348, 7338, 7336, 7329, 7322, 7317, 7302, 730, 37096, 7288, 7287, 7286, 7282, 7275, 7251, 7248, 724, 7235, 7234, 7228, 7221, 7205, 7201, 7197, 30885, 7189, 7179, 717, 7168, 7161, 7152, 715, 7125, 7088, 7054, 7037, 43615, 701, 7007, 700, 6996, 6993, 6976, 6969, 6967, 695, 6944, 694, 6937, 6934, 6930, 6912, 6907, 6896, 6894, 6885, 6877, 6870, 687, 6865]"
5,-58.45491567248758,"[6862, 6860, 6855, 6825, 6822, 6820, 6816, 6813, 6766, 6757, 6750, 6731, 673, 6729, 4050, 18145, 6727, 6714, 6702, 6687, 6681, 6675, 6663, 6654, 6652, 6640, 6631, 6628, 6620, 6613, 6610, 660, 6590, 40866, 659, 6583, 6574, 6572, 6568, 6564, 6560, 6549, 6547, 6545, 6544, 654, 6537, 6534, 6533, 6515, 6478, 6477, 6467, 6457, 6454, 6449, 6434, 6431, 10359, 6426, 6419, 6418, 6408, 640, 6399, 6394, 6391, 6388, 6383, 6377, 6376, 6363, 6362, 623, 6210, 41764, 6209, 6208, 6205, 6184, 6177, 6149, 6148, 6138, 6137, 6132, 6130, 6123, 6117, 6095, 6094, 6084, 6082, 6060, 6057, 6041, 6026, 6012, 6005, 5994]"
6,-52.28905600977982,"[5991, 599, 5983, 5975, 597, 5965, 5958, 5949, 5948, 5939, 5926, 5918, 5910, 5903, 5892, 5885, 5882, 5856, 5849, 5845, 5840, 5832, 583, 5815, 5812, 5804, 5799, 5788, 5783, 5779, 5778, 5776, 5774, 5763, 5752, 5739, 5717, 5716, 570, 565, 5649, 5638, 5632, 562, 5602, 560, 5597, 5543, 5511, 5509, 5474, 5450, 5420, 5411, 5378, 5360, 5345, 5335, 5332, 5315, 531, 5299, 5295, 5294, 5290, 529, 5288, 5287, 5285, 5274, 5261, 5259, 5256, 5251, 5249, 38523, 5235, 5232, 5215, 5209, 5195, 5193, 5173, 5169, 516, 5144, 3016, 5101, 509, 5088, 507, 5047, 5040, 6222, 5038, 502, 5012, 501, 4998, 4979]"
7,-49.94019734387115,"[4978, 4963, 496, 4926, 49, 4887, 4885, 4882, 4875, 4873, 4869, 4861, 4854, 4844, 4836, 4827, 4782, 4780, 4776, 4775, 4772, 4760, 4742, 4740, 4705, 4699, 4695, 4691, 4688, 4670, 4666, 3064, 4659, 4657, 4652, 4650, 4646, 4637, 4632, 14342, 4630, 4621, 4603, 46, 4598, 4584, 4565, 26257, 4563, 4562, 77, 11669, 4555, 4554, 4552, 25011, 31119, 4546, 4542, 45168, 45167, 45154, 45147, 45125, 45119, 45117, 45115, 45098, 45097, 45087, 45077, 45074, 45054, 45043, 45042, 45038, 45012, 45011, 34055, 45004, 44974, 44969, 44966, 44964, 44959, 44949, 44947, 44938, 44937, 4492, 4484, 44752, 44741, 44717, 44693, 44675, 44656, 4465, 44610, 44600]"
8,-49.50724539400322,"[44594, 4459, 44589, 44580, 44570, 44515, 44512, 4451, 44497, 4449, 44485, 44480, 4447, 44420, 44416, 44399, 44389, 44333, 44324, 44300, 4427, 44251, 2279, 44199, 44195, 44184, 44155, 44152, 4411, 44079, 44064, 4406, 44059, 44051, 40911, 6819, 44045, 4404, 44031, 4398, 43934, 4393, 43929, 43922, 7944, 43916, 43907, 43904, 43897, 43880, 43851, 43850, 43841, 43839, 43831, 4383, 43829, 43827, 43824, 4382, 43819, 43811, 4381, 43809, 43802, 4380, 43780, 43762, 43757, 43729, 43728, 43715, 43696, 13738, 43690, 4369, 24467, 43680, 43667, 43663, 4365, 43648, 43643, 43642, 43641, 43640, 43633, 43630, 4363, 43626, 43616, 43610, 43607, 43595, 43592, 43589, 43586, 43578, 43577, 43575]"
9,-50.009934484307855,"[43547, 43544, 4354, 43535, 43532, 43531, 43524, 43516, 43515, 43512, 41957, 4351, 43506, 43491, 11311, 43489, 43488, 43486, 43482, 43477, 43476, 43470, 43465, 43464, 4346, 43449, 43446, 43437, 43414, 43403, 43396, 43393, 43368, 4335, 43338, 43326, 43298, 43283, 43271, 43269, 43266, 43260, 43244, 43243, 43240, 43233, 43232, 43229, 43198, 43195, 43194, 43190, 43141, 43140, 43139, 4313, 43123, 4307, 43041, 43039, 4303, 43000, 42850, 42829, 42824, 8809, 4282, 42796, 42780, 14258, 42770, 42717, 42701, 42698, 4269, 42373, 42682, 42675, 42666, 42664, 4260, 42570, 42562, 42560, 42556, 42546, 42545, 42541, 4252, 42507, 42487, 8542, 42483, 42477, 42473, 4245, 42442, 42437, 42422, 42416]"
10,-49.24053814093018,"[42404, 42386, 42380, 42379, 42374, 42360, 42340, 42326, 42317, 42301, 42298, 42284, 42278, 42265, 42264, 42262, 42237, 42236, 42235, 42228, 42183, 42176, 42170, 4217, 42154, 42151, 42142, 42125, 42115, 42105, 42100, 42076, 4206, 42002, 7584, 41988, 41987, 41981, 4198, 41969, 41955, 41945, 41933, 41929, 41926, 41920, 41917, 41913, 41902, 4190, 41899, 41893, 41872, 41870, 41864, 41812, 41811, 41794, 41789, 41787, 24479, 41784, 41777, 41776, 41758, 41750, 41748, 4174, 41734, 41718, 41715, 41704, 41701, 41699, 41697, 41691, 41686, 41681, 41676, 41673, 41669, 41664, 41648, 41646, 4163, 41616, 41609, 41605, 9365, 41599, 41592, 41585, 41580, 4156, 41554, 22171, 41552, 41535, 41511, 41487]"
