iteration,avg_score,selected_links
1,163.14440799783847,"['2809', '1322', '674', '920', '1918', '198', '2017', '2713', '1174', '1728']"
2,95.16211194268786,"['2337', '2240', '3342', '1580', '4624', '419', '1755', '1710', '4260', '442']"
3,211.4551996714727,"['1918', '440', '2882', '450', '702', '3176', '414', '344', '3150', '4526']"
4,141.64150490957974,"['1849', '392', '2919', '658', '3981', '1609', '1349', '1333', '2854', '2021']"
5,131.5026056495948,"['2734', '2697', '1111', '3934', '2830', '458', '4210', '1580', '2349', '3699']"
6,154.40860761404295,"['439', '2083', '1608', '3228', '3578', '4547', '4298', '6', '1079', '2668']"
7,181.3044220730617,"['2365', '2280', '52', '2171', '1851', '2071', '2254', '2728', '1714', '2181']"
8,135.25357364585855,"['460', '4200', '1551', '2691', '2469', '339', '1548', '585', '25', '1067']"
9,195.2209879718046,"['2836', '1061', '2836', '1076', '2490', '2682', '1309', '672', '3327', '2450']"
10,199.153110494236,"['477', '3154', '3175', '4273', '536', '2482', '2232', '457', '2446', '1027']"
11,152.04443002548803,"['2376', '2765', '2472', '4209', '2373', '3206', '2145', '1632', '4245', '1720']"
12,190.3574291367196,"['2278', '450', '1714', '2479', '1854', '88', '2049', '455', '2761', '4296']"
13,225.7259016346623,"['1357', '270', '657', '1729', '3096', '444', '4413', '2661', '3699', '663']"
14,166.7690304408647,"['2241', '2730', '66', '1705', '3200', '404', '4317', '405', '2474', '2180']"
15,173.81508579575376,"['590', '3940', '4415', '402', '1162', '3310', '1154', '102', '24', '1316']"
16,176.83720880711545,"['659', '3021', '453', '1643', '3344', '3298', '326', '1029', '393', '3936']"
17,229.49919204071463,"['411', '2390', '2126', '1570', '510', '1342', '1085', '585', '3158', '2269']"
18,172.1349241983512,"['2241', '2864', '2122', '3289', '95', '1353', '4612', '2451', '1147', '1175']"
19,201.3968931074187,"['1074', '4301', '1116', '55', '1029', '2672', '4272', '1539', '2455', '2420']"
20,173.34019721489312,"['155', '1077', '2699', '3200', '918', '3154', '1884', '3975', '3166', '89']"
21,168.3526516238212,"['1576', '3018', '344', '2184', '1146', '123', '4409', '1779', '2495', '4319']"
22,168.41059293909825,"['3584', '2765', '3141', '1867', '1175', '1349', '3327', '2807', '3941', '2069']"
23,184.20289239718943,"['9', '194', '2919', '2820', '102', '1306', '1114', '1919', '98', '1788']"
24,153.35674767944556,"['1894', '2475', '598', '3021', '922', '1786', '4272', '2886', '1112', '1342']"
25,187.00694407119988,"['2931', '4244', '1087', '27', '3698', '21', '2902', '1721', '2399', '1630']"
26,200.4064709932574,"['1115', '4265', '1889', '2270', '2446', '4291', '3093', '3715', '1240', '66']"
27,255.46293363973285,"['2084', '3148', '1879', '4297', '1924', '3150', '3303', '3710', '1546', '1307']"
28,169.99699919867356,"['1539', '1296', '2121', '3156', '2764', '2904', '3978', '2365', '2810', '3137']"
29,154.95704754482716,"['3203', '747', '1271', '1085', '2705', '1153', '2798', '1632', '3970', '4295']"
30,199.0001999789285,"['1579', '3962', '4295', '3712', '2023', '4207', '4301', '2848', '4540', '2810']"
31,176.99182006231146,"['3174', '2964', '3154', '2049', '2280', '2023', '3211', '4259', '1070', '2722']"
32,194.39102653743825,"['1605', '1874', '2418', '583', '2291', '3226', '1708', '1073', '2682', '2096']"
33,173.56788874587252,"['2734', '3155', '2803', '1076', '1292', '362', '1711', '3169', '1735', '3707']"
34,160.72310522726812,"['2360', '1581', '332', '3287', '2269', '4244', '2705', '86', '183', '3312']"
35,190.2338389099937,"['4397', '1100', '1674', '4520', '921', '3684', '529', '416', '536', '1084']"
36,187.1401667049467,"['441', '403', '273', '2263', '760', '1734', '655', '2767', '1349', '4314']"
37,168.83420138253,"['4221', '1302', '2780', '6', '1302', '2396', '1515', '86', '4414', '21']"
38,159.42495944789815,"['3709', '52', '1785', '3101', '1727', '2706', '1185', '274', '3226', '4551']"
39,190.6371533579192,"['1779', '1786', '1074', '4270', '3967', '1641', '1192', '3575', '139', '1308']"
40,214.86926031313243,"['3027', '2722', '272', '65', '3581', '119', '87', '3019', '3227', '2023']"
41,133.4651108762903,"['4541', '3135', '2846', '2728', '3293', '1606', '1147', '757', '1053', '3210']"
42,236.67449650141836,"['1211', '196', '1539', '2714', '4608', '2376', '184', '1847', '2255', '1671']"
43,184.58980419650783,"['2892', '1059', '530', '4250', '4211', '1030', '2901', '4520', '1893', '1295']"
44,198.62961788189804,"['2969', '511', '2826', '3281', '415', '474', '2417', '1705', '454', '2374']"
45,166.5983584975491,"['1272', '1674', '4281', '2316', '2763', '2861', '2894', '245', '2977', '2180']"
46,215.7369639928946,"['4202', '140', '1355', '3207', '2369', '2451', '1071', '1918', '2353', '52']"
47,187.601610898256,"['1502', '2236', '2094', '1755', '2177', '2767', '1889', '3253', '1058', '2854']"
48,198.29888723667275,"['3975', '3575', '2725', '2259', '2117', '4526', '4608', '4540', '1540', '2264']"
49,221.186172146406,"['28', '325', '1041', '1322', '260', '649', '3133', '1359', '3684', '3271']"
50,194.66094358996253,"['262', '1522', '2794', '1102', '2449', '2410', '3134', '4244', '446', '3973']"
