iteration,avg_score,selected_links
1,156.18686383467133,"['1207', '3939', '4250', '2774', '4206', '1208', '87', '2685', '3574', '2734']"
2,156.47129480099235,"['2930', '4259', '666', '4546', '2185', '2282', '490', '2914', '2662', '1922']"
3,158.49477666181227,"['4221', '2482', '227', '1185', '3163', '3175', '3576', '3185', '2268', '668']"
4,158.2868716716345,"['1081', '3343', '1736', '2854', '2173', '3503', '410', '4525', '1090', '1644']"
5,148.7743610458126,"['669', '1045', '457', '2725', '173', '1659', '2226', '1708', '31', '2741']"
6,155.61983918968158,"['1919', '394', '4609', '1238', '464', '3326', '3281', '2810', '4303', '1723']"
7,153.46213067251512,"['2702', '693', '1852', '3142', '2076', '4197', '2818', '3197', '3253', '332']"
8,152.99606785548724,"['2008', '2456', '1208', '2886', '1542', '2254', '1607', '336', '2662', '1586']"
9,158.39810975667774,"['3575', '2083', '3281', '751', '94', '4258', '448', '1856', '3291', '2474']"
10,150.88692015405368,"['4198', '100', '1532', '4590', '667', '2911', '1294', '537', '268', '2181']"
11,156.62566531086125,"['2803', '69', '2012', '1644', '2790', '2309', '254', '701', '673', '3190']"
12,148.5138633030158,"['4246', '388', '2854', '2279', '1548', '2705', '3206', '3189', '3707', '2469']"
13,140.92812261654143,"['2361', '2698', '1241', '2859', '489', '2839', '4264', '1299', '1586', '2109']"
14,146.3133915525988,"['4313', '1571', '1608', '2796', '4297', '1712', '421', '3969', '3027', '2229']"
15,161.33550913900726,"['3164', '1046', '182', '4408', '2407', '1843', '99', '3282', '2830', '2927']"
16,157.98071779584347,"['3149', '2820', '3964', '2943', '4274', '1360', '1843', '82', '4313', '3203']"
17,162.49825598951924,"['119', '2721', '1585', '1844', '2280', '3583', '2112', '2983', '2365', '2902']"
18,154.60435125953464,"['1162', '2085', '1078', '1056', '3208', '2381', '4259', '2743', '3965', '4399']"
19,158.97355346068744,"['1546', '1656', '2185', '2440', '1500', '1185', '3309', '4243', '154', '2013']"
20,148.8630260084548,"['4298', '3577', '1155', '2746', '2256', '1238', '1852', '340', '2809', '2877']"
21,158.35143007992966,"['1551', '2470', '448', '433', '1835', '1735', '2901', '1643', '3153', '3686']"
22,156.0573534595086,"['469', '3294', '2338', '1082', '4415', '4324', '1043', '3288', '1571', '4549']"
23,155.22808331943818,"['3139', '1875', '2305', '2801', '1547', '2735', '3156', '2509', '3280', '1097']"
24,152.5256366125754,"['481', '3695', '2909', '2813', '450', '2931', '2882', '2458', '3100', '2472']"
25,157.48460989555844,"['1582', '61', '4', '2441', '1208', '4319', '2261', '2263', '2834', '1140']"
26,157.29930644187723,"['2766', '458', '2733', '4611', '2780', '2430', '2024', '1297', '1549', '1241']"
27,149.3776259414061,"['1043', '117', '2011', '2080', '1655', '3183', '2208', '3027', '4548', '3976']"
28,162.9537467584426,"['3019', '693', '1331', '1073', '2914', '1632', '1191', '29', '2123', '3937']"
29,153.2867351312072,"['2772', '3211', '2281', '750', '1711', '489', '3287', '3978', '2316', '1215']"
30,151.79890905560848,"['2274', '2842', '118', '2255', '2725', '1788', '1645', '3180', '2789', '700']"
31,145.2285041128424,"['3173', '1059', '4543', '649', '1056', '272', '3286', '1345', '2380', '411']"
32,156.29200638942,"['2484', '2116', '2978', '2185', '3942', '120', '3179', '445', '4306', '2682']"
33,143.91303040034393,"['387', '2841', '2944', '1238', '2118', '3340', '597', '918', '1248', '254']"
34,150.48623450791507,"['658', '2418', '2385', '419', '1176', '1351', '2122', '532', '3976', '180']"
35,150.0928106632717,"['1158', '322', '326', '346', '1352', '1106', '670', '2083', '3180', '2886']"
36,158.1927104712876,"['4295', '590', '3711', '2088', '3284', '2245', '2699', '1171', '4300', '1031']"
37,150.8010347592981,"['3935', '2271', '1869', '539', '3717', '2684', '2901', '34', '538', '529']"
38,161.22995742395497,"['2911', '102', '3187', '3978', '3689', '2008', '2210', '1924', '4251', '2773']"
39,151.29825831036126,"['1076', '3096', '3278', '1510', '1359', '2931', '3167', '672', '2801', '3504']"
40,147.33738711185728,"['3303', '3098', '1788', '206', '2276', '3570', '2408', '3149', '442', '1755']"
41,156.8583137945542,"['1060', '2265', '1320', '88', '3574', '1161', '3148', '2826', '1026', '1114']"
42,157.4367512744278,"['594', '141', '3174', '24', '2495', '2282', '1506', '4547', '4526', '3981']"
43,153.0359021755131,"['656', '2764', '22', '1186', '3280', '228', '2408', '2438', '3022', '1576']"
44,159.4269163737912,"['2078', '118', '4296', '1028', '584', '2748', '3712', '4292', '2669', '663']"
45,153.38033504943368,"['456', '3191', '3194', '1050', '194', '2841', '1143', '2417', '3018', '1656']"
46,147.96268149620866,"['2125', '3692', '539', '1027', '103', '1321', '1347', '2229', '92', '2848']"
47,158.47861000412917,"['1336', '2423', '4304', '3289', '3714', '2733', '3310', '1733', '3173', '4608']"
48,162.1559440605884,"['4210', '4291', '2317', '4610', '3227', '1113', '453', '4191', '447', '2964']"
49,148.73669063127778,"['922', '2090', '1587', '922', '22', '3022', '1530', '750', '1501', '102']"
50,161.4379816190739,"['2324', '1093', '464', '3022', '1086', '4521', '3359', '3225', '347', '2251']"
