Hour	Flow (Veh/Hour)	# Lane Points	% Observed
10/23/2024 00:00	615.0	60	100.0
10/23/2024 01:00	411.0	60	100.0
10/23/2024 02:00	310.0	60	100.0
10/23/2024 03:00	442.0	60	100.0
10/23/2024 04:00	1,056.0	60	100.0
10/23/2024 05:00	3,133.0	60	100.0
10/23/2024 06:00	6,550.0	60	100.0
10/23/2024 07:00	7,813.0	60	100.0
10/23/2024 08:00	6,495.0	60	100.0
10/23/2024 09:00	5,141.0	60	100.0
10/23/2024 10:00	5,399.0	60	100.0
10/23/2024 11:00	5,498.0	60	100.0
10/23/2024 12:00	5,590.0	60	100.0
10/23/2024 13:00	5,892.0	60	100.0
10/23/2024 14:00	6,354.0	60	100.0
10/23/2024 15:00	7,209.0	60	100.0
10/23/2024 16:00	7,714.0	60	100.0
10/23/2024 17:00	5,710.0	60	100.0
10/23/2024 18:00	6,697.0	60	100.0
10/23/2024 19:00	4,757.0	60	100.0
10/23/2024 20:00	3,844.0	60	100.0
10/23/2024 21:00	3,343.0	60	100.0
10/23/2024 22:00	2,005.0	60	100.0
10/23/2024 23:00	1,050.0	60	100.0
