Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
1	1	1	10	11	-0.091	0.091	0.309
1	1	2	1	3	-0.667	0.667	1.414
1	1	3	1	6	-0.833	0.833	2.673
1	1	4	10	18	-0.444	0.444	2.138
1	1	5	10	5	1	0.5	1.826
1	1	6	0	14	-1	1	5.292
1	1	7	1	9	-0.889	0.889	3.578
1	1	8	10	16	-0.375	0.375	1.664
1	1	9	20	7	1.857	0.65	3.538
1	1	10	1	13	-0.923	0.923	4.536
1	1	11	11	2	4.5	0.818	3.53
1	1	12	2	15	-0.867	0.867	4.459
1	1	13	1	12	-0.917	0.917	4.315
1	1	14	11	6	0.833	0.455	1.715
1	1	15	1	4	-0.75	0.75	1.897
1	1	16	1	17	-0.941	0.941	5.333
1	1	17	0	8	-1	1	4
1	1	18	10	10	0	0	0
1	1	19	10	19	-0.474	0.474	2.364
1	1	20	10	1	9	0.9	3.838
1	1	21	10	7	0.429	0.3	1.029
1	1	22	0	0	0	0	NaN
1	1	23	1	6	-0.833	0.833	2.673
1	1	24	10	13	-0.231	0.231	0.885
2	1	1	2	8	-0.75	0.75	2.683
2	1	2	1	14	-0.929	0.929	4.747
2	1	3	10	4	1.5	0.6	2.268
2	1	4	1	7	-0.857	0.857	3
2	1	5	2	18	-0.889	0.889	5.06
2	1	6	2	1	1	0.5	0.816
2	1	7	10	11	-0.091	0.091	0.309
2	1	8	20	9	1.222	0.55	2.889
2	1	9	0	20	-1	1	6.325
2	1	10	10	6	0.667	0.4	1.414
2	1	11	0	16	-1	1	5.657
2	1	12	20	3	5.667	0.85	5.013
2	1	13	11	5	1.2	0.545	2.121
2	1	14	11	15	-0.267	0.267	1.109
2	1	15	2	13	-0.846	0.846	4.017
2	1	16	1	2	-0.5	0.5	0.816
2	1	17	1	10	-0.9	0.9	3.838
2	1	18	10	17	-0.412	0.412	1.905
2	1	19	10	8	0.25	0.2	0.667
2	1	20	1	12	-0.917	0.917	4.315
2	1	21	10	19	-0.474	0.474	2.364
2	1	22	0	0	0	0	NaN
2	1	23	0	11	-1	1	4.69
2	1	24	11	7	0.571	0.364	1.333
3	1	1	2	5	-0.6	0.6	1.604
3	1	2	1	13	-0.923	0.923	4.536
3	1	3	10	9	0.111	0.1	0.324
3	1	4	1	2	-0.5	0.5	0.816
3	1	5	2	15	-0.867	0.867	4.459
3	1	6	2	6	-0.667	0.667	2
3	1	7	10	14	-0.286	0.286	1.155
3	1	8	20	18	0.111	0.1	0.459
3	1	9	0	3	-1	1	2.449
3	1	10	10	11	-0.091	0.091	0.309
3	1	11	0	1	-1	1	1.414
3	1	12	20	20	0	0	0
3	1	13	11	10	0.1	0.091	0.309
3	1	14	11	7	0.571	0.364	1.333
3	1	15	2	16	-0.875	0.875	4.667
3	1	16	1	4	-0.75	0.75	1.897
3	1	17	1	12	-0.917	0.917	4.315
3	1	18	10	17	-0.412	0.412	1.905
3	1	19	10	8	0.25	0.2	0.667
3	1	20	1	9	-0.889	0.889	3.578
3	1	21	10	19	-0.474	0.474	2.364
3	1	22	0	0	0	0	NaN
3	1	23	0	6	-1	1	3.464
3	1	24	11	13	-0.154	0.154	0.577
