Hour	Flow (Veh/Hour)	# Lane Points	% Observed
10/23/2024 00:00	735.0	60	100.0
10/23/2024 01:00	451.0	60	100.0
10/23/2024 02:00	488.0	60	100.0
10/23/2024 03:00	585.0	60	100.0
10/23/2024 04:00	1,278.0	60	100.0
10/23/2024 05:00	3,844.0	60	100.0
10/23/2024 06:00	6,878.0	60	100.0
10/23/2024 07:00	7,753.0	60	100.0
10/23/2024 08:00	6,634.0	60	100.0
10/23/2024 09:00	7,350.0	60	100.0
10/23/2024 10:00	6,621.0	60	100.0
10/23/2024 11:00	6,665.0	60	100.0
10/23/2024 12:00	6,575.0	60	100.0
10/23/2024 13:00	6,877.0	60	100.0
10/23/2024 14:00	7,052.0	60	100.0
10/23/2024 15:00	7,348.0	60	100.0
10/23/2024 16:00	7,459.0	60	100.0
10/23/2024 17:00	7,395.0	60	100.0
10/23/2024 18:00	7,224.0	60	100.0
10/23/2024 19:00	5,468.0	60	100.0
10/23/2024 20:00	4,017.0	60	100.0
10/23/2024 21:00	3,500.0	60	100.0
10/23/2024 22:00	2,351.0	60	100.0
10/23/2024 23:00	1,342.0	60	100.0
