Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
1	1	1	11	11	0	0	0
1	1	2	2	3	-0.333	0.333	0.632
1	1	3	2	6	-0.667	0.667	2
1	1	4	0	18	-1	1	6
1	1	5	2	5	-0.6	0.6	1.604
1	1	6	2	14	-0.857	0.857	4.243
1	1	7	2	9	-0.778	0.778	2.985
1	1	8	2	16	-0.875	0.875	4.667
1	1	9	2	7	-0.714	0.714	2.357
1	1	10	11	13	-0.154	0.154	0.577
1	1	11	2	2	0	0	0
1	1	12	2	15	-0.867	0.867	4.459
1	1	13	2	12	-0.833	0.833	3.78
1	1	14	2	6	-0.667	0.667	2
1	1	15	10	4	1.5	0.6	2.268
1	1	16	11	17	-0.353	0.353	1.604
1	1	17	2	8	-0.75	0.75	2.683
1	1	18	1	10	-0.9	0.9	3.838
1	1	19	10	19	-0.474	0.474	2.364
1	1	20	2	1	1	0.5	0.816
1	1	21	11	7	0.571	0.364	1.333
1	1	22	1	0	1000	1	1.414
1	1	23	2	6	-0.667	0.667	2
1	1	24	11	13	-0.154	0.154	0.577
2	1	1	2	8	-0.75	0.75	2.683
2	1	2	2	14	-0.857	0.857	4.243
2	1	3	1	4	-0.75	0.75	1.897
2	1	4	2	7	-0.714	0.714	2.357
2	1	5	2	18	-0.889	0.889	5.06
2	1	6	11	1	10	0.909	4.082
2	1	7	2	11	-0.818	0.818	3.53
2	1	8	1	9	-0.889	0.889	3.578
2	1	9	2	20	-0.9	0.9	5.427
2	1	10	2	6	-0.667	0.667	2
2	1	11	1	16	-0.938	0.938	5.145
2	1	12	1	3	-0.667	0.667	1.414
2	1	13	2	5	-0.6	0.6	1.604
2	1	14	2	15	-0.867	0.867	4.459
2	1	15	2	13	-0.846	0.846	4.017
2	1	16	2	2	0	0	0
2	1	17	1	10	-0.9	0.9	3.838
2	1	18	2	17	-0.882	0.882	4.867
2	1	19	1	8	-0.875	0.875	3.3
2	1	20	2	12	-0.833	0.833	3.78
2	1	21	2	19	-0.895	0.895	5.246
2	1	22	2	0	1000	1	2
2	1	23	2	11	-0.818	0.818	3.53
2	1	24	2	7	-0.714	0.714	2.357
3	1	1	2	5	-0.6	0.6	1.604
3	1	2	2	13	-0.846	0.846	4.017
3	1	3	1	9	-0.889	0.889	3.578
3	1	4	2	2	0	0	0
3	1	5	2	15	-0.867	0.867	4.459
3	1	6	11	6	0.833	0.455	1.715
3	1	7	2	14	-0.857	0.857	4.243
3	1	8	1	18	-0.944	0.944	5.516
3	1	9	2	3	-0.333	0.333	0.632
3	1	10	2	11	-0.818	0.818	3.53
3	1	11	1	1	0	0	0
3	1	12	1	20	-0.95	0.95	5.864
3	1	13	2	10	-0.8	0.8	3.266
3	1	14	2	7	-0.714	0.714	2.357
3	1	15	2	16	-0.875	0.875	4.667
3	1	16	2	4	-0.5	0.5	1.155
3	1	17	1	12	-0.917	0.917	4.315
3	1	18	2	17	-0.882	0.882	4.867
3	1	19	1	8	-0.875	0.875	3.3
3	1	20	2	9	-0.778	0.778	2.985
3	1	21	2	19	-0.895	0.895	5.246
3	1	22	2	0	1000	1	2
3	1	23	2	6	-0.667	0.667	2
3	1	24	2	13	-0.846	0.846	4.017
